name,type_of_meteorite,mass_g,fell_found,year,database,coordinate_1,coordinates_2,cartodb_id,created_at,updated_at,year_date,long,lat,geojson
Akwanga,H,3000,Fell,1959,http://www.lpi.usra.edu/meteor/metbull.php?code=432,8.91667,8.43333,2264,56:02.8,11:51.9,1/1/1959 0:00,8.43333,8.91667,"{""type"":""Point"",""coordinates"":[8.43333,8.91667]}"
Akyumak,"Iron, IVA",50000,Fell,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=433,39.91667,42.81667,430,56:02.8,11:51.9,1/1/1981 0:00,42.81667,39.91667,"{""type"":""Point"",""coordinates"":[42.81667,39.91667]}"
Al Rais,CR2-an,160,Fell,1957,http://www.lpi.usra.edu/meteor/metbull.php?code=446,24.41667,39.51667,8867,56:02.8,11:51.9,1/1/1957 0:00,39.51667,24.41667,"{""type"":""Point"",""coordinates"":[39.51667,24.41667]}"
Al Zarnkh,LL5,700,Fell,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=447,13.66033,28.96,4507,56:02.8,11:51.9,1/1/2001 0:00,28.96,13.66033,"{""type"":""Point"",""coordinates"":[28.96,13.66033]}"
Alais,CI1,6000,Fell,1806,http://www.lpi.usra.edu/meteor/metbull.php?code=448,44.11667,4.08333,1582,56:02.8,11:51.9,1806-01-01 00:00:00,4.08333,44.11667,"{""type"":""Point"",""coordinates"":[4.08333,44.11667]}"
Albareto,L/LL4,2000,Fell,1766,http://www.lpi.usra.edu/meteor/metbull.php?code=453,44.65,11.01667,2712,56:02.8,11:51.9,1766-01-01 00:00:00,11.01667,44.65,"{""type"":""Point"",""coordinates"":[11.01667,44.65]}"
Alberta,L,625,Fell,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=454,2,22.66667,4720,56:02.8,11:51.9,1/1/1949 0:00,22.66667,2,"{""type"":""Point"",""coordinates"":[22.66667,2]}"
Alby sur Ch̩ran,Eucrite-mmict,252,Fell,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=458,45.82133,6.01533,7257,56:02.8,11:51.9,1/1/2002 0:00,6.01533,45.82133,"{""type"":""Point"",""coordinates"":[6.01533,45.82133]}"
Aldsworth,LL5,700,Fell,1835,http://www.lpi.usra.edu/meteor/metbull.php?code=461,51.78333,-1.78333,4501,56:02.8,11:51.9,1835-01-01 00:00:00,-1.78333,51.78333,"{""type"":""Point"",""coordinates"":[-1.78333,51.78333]}"
Aleppo,L6,3200,Fell,1873,http://www.lpi.usra.edu/meteor/metbull.php?code=462,36.23333,37.13333,2188,56:02.8,11:51.9,1873-01-01 00:00:00,37.13333,36.23333,"{""type"":""Point"",""coordinates"":[37.13333,36.23333]}"
Alessandria,H5,908,Fell,1860,http://www.lpi.usra.edu/meteor/metbull.php?code=463,44.88333,8.75,3979,56:02.8,11:51.9,1860-01-01 00:00:00,8.75,44.88333,"{""type"":""Point"",""coordinates"":[8.75,44.88333]}"
Alexandrovsky,H4,9251,Fell,1900,http://www.lpi.usra.edu/meteor/metbull.php?code=465,50.95,31.81667,1264,56:02.8,11:51.9,1/1/1900 0:00,31.81667,50.95,"{""type"":""Point"",""coordinates"":[31.81667,50.95]}"
Alfianello,L6,228000,Fell,1883,http://www.lpi.usra.edu/meteor/metbull.php?code=466,45.26667,10.15,146,56:02.8,11:51.9,1883-01-01 00:00:00,10.15,45.26667,"{""type"":""Point"",""coordinates"":[10.15,45.26667]}"
Allegan,H5,32000,Fell,1899,http://www.lpi.usra.edu/meteor/metbull.php?code=2276,42.53333,-85.88333,590,56:02.8,11:51.9,1899-01-01 00:00:00,-85.88333,42.53333,"{""type"":""Point"",""coordinates"":[-85.88333,42.53333]}"
Allende,CV3,2000000,Fell,1969,http://www.lpi.usra.edu/meteor/metbull.php?code=2278,26.96667,-105.31667,30,56:02.8,11:51.9,1/1/1969 0:00,-105.31667,26.96667,"{""type"":""Point"",""coordinates"":[-105.31667,26.96667]}"
Almahata Sitta,Ureilite-an,3950,Fell,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=48915,20.74575,32.41275,1980,56:02.8,11:51.9,1/1/2008 0:00,32.41275,20.74575,"{""type"":""Point"",""coordinates"":[32.41275,20.74575]}"
Alta'ameem,LL5,6000,Fell,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=2284,35.27333,44.21556,1600,56:02.8,11:51.9,1/1/1977 0:00,44.21556,35.27333,"{""type"":""Point"",""coordinates"":[44.21556,35.27333]}"
Alto Verde,Pseudometeorite,0,Fell,,http://www.lpi.usra.edu/meteor/metbull.php?code=2285,-33.11667,-68.33333,34504,56:02.8,11:18.6,,-68.33333,-33.11667,"{""type"":""Point"",""coordinates"":[-68.33333,-33.11667]}"
Alwal,Doubtful Iron,0,Fell,1901,http://www.lpi.usra.edu/meteor/metbull.php?code=2288,17.36667,78.46667,34333,56:02.8,11:51.9,1/1/1901 0:00,78.46667,17.36667,"{""type"":""Point"",""coordinates"":[78.46667,17.36667]}"
Ambapur Nagla,H5,6400,Fell,1895,http://www.lpi.usra.edu/meteor/metbull.php?code=2290,27.66667,78.25,1543,56:02.8,11:51.9,1895-01-01 00:00:00,78.25,27.66667,"{""type"":""Point"",""coordinates"":[78.25,27.66667]}"
Andhara,Stone-uncl,2700,Fell,1880,http://www.lpi.usra.edu/meteor/metbull.php?code=2294,26.58333,85.56667,2363,56:02.8,11:51.9,1880-01-01 00:00:00,85.56667,26.58333,"{""type"":""Point"",""coordinates"":[85.56667,26.58333]}"
Andover,L6,3200,Fell,1898,http://www.lpi.usra.edu/meteor/metbull.php?code=2295,44.61667,-70.75,2190,56:02.8,11:51.9,1898-01-01 00:00:00,-70.75,44.61667,"{""type"":""Point"",""coordinates"":[-70.75,44.61667]}"
Andreevka,L3,600,Fell,1969,http://www.lpi.usra.edu/meteor/metbull.php?code=2296,48.7,37.5,4824,56:02.8,11:51.9,1/1/1969 0:00,37.5,48.7,"{""type"":""Point"",""coordinates"":[37.5,48.7]}"
Andura,H6,17900,Fell,1939,http://www.lpi.usra.edu/meteor/metbull.php?code=2298,20.88333,76.86667,865,56:02.8,11:51.9,1/1/1939 0:00,76.86667,20.88333,"{""type"":""Point"",""coordinates"":[76.86667,20.88333]}"
Angers,L6,0,Fell,1822,http://www.lpi.usra.edu/meteor/metbull.php?code=2301,47.46667,-0.55,34310,56:02.8,11:51.9,1822-01-01 00:00:00,-0.55,47.46667,"{""type"":""Point"",""coordinates"":[-0.55,47.46667]}"
Angra dos Reis (stone),Angrite,1500,Fell,1869,http://www.lpi.usra.edu/meteor/metbull.php?code=2302,-22.96667,-44.31667,3120,56:02.8,11:51.9,1869-01-01 00:00:00,-44.31667,-22.96667,"{""type"":""Point"",""coordinates"":[-44.31667,-22.96667]}"
Ankhediya Mota,L4/5,20000,Fell,1985,http://www.lpi.usra.edu/meteor/metbull.php?code=2303,22.35556,73.575,803,56:02.8,11:51.9,1/1/1985 0:00,73.575,22.35556,"{""type"":""Point"",""coordinates"":[73.575,22.35556]}"
Ankober,H4,6500,Fell,1942,http://www.lpi.usra.edu/meteor/metbull.php?code=2304,9.53333,39.71667,1533,56:02.8,11:51.9,1/1/1942 0:00,39.71667,9.53333,"{""type"":""Point"",""coordinates"":[39.71667,9.53333]}"
Anlong,H5,2500,Fell,1971,http://www.lpi.usra.edu/meteor/metbull.php?code=2305,25.15,105.18333,2453,56:02.8,11:51.9,1/1/1971 0:00,105.18333,25.15,"{""type"":""Point"",""coordinates"":[105.18333,25.15]}"
Aomori,L6,320,Fell,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=2313,40.81056,140.78556,6514,56:02.8,11:51.9,1/1/1984 0:00,140.78556,40.81056,"{""type"":""Point"",""coordinates"":[140.78556,40.81056]}"
Appley Bridge,LL6,15000,Fell,1914,http://www.lpi.usra.edu/meteor/metbull.php?code=2318,53.58333,-2.71667,970,56:02.8,11:51.9,1/1/1914 0:00,-2.71667,53.58333,"{""type"":""Point"",""coordinates"":[-2.71667,53.58333]}"
Apt,L6,3200,Fell,1803,http://www.lpi.usra.edu/meteor/metbull.php?code=2320,43.86667,5.38333,2185,56:02.8,11:51.9,1803-01-01 00:00:00,5.38333,43.86667,"{""type"":""Point"",""coordinates"":[5.38333,43.86667]}"
Arbol Solo,H5,810,Fell,1954,http://www.lpi.usra.edu/meteor/metbull.php?code=2325,-33,-66,4191,56:02.8,11:51.9,1/1/1954 0:00,-66,-33,"{""type"":""Point"",""coordinates"":[-66,-33]}"
Archie,H6,5070,Fell,1932,http://www.lpi.usra.edu/meteor/metbull.php?code=2329,38.5,-94.3,1721,56:02.8,11:51.9,1/1/1932 0:00,-94.3,38.5,"{""type"":""Point"",""coordinates"":[-94.3,38.5]}"
Arroyo Aguiar,H5,7450,Fell,1950,http://www.lpi.usra.edu/meteor/metbull.php?code=2340,-31.41667,-60.66667,1429,56:02.8,11:51.9,1/1/1950 0:00,-60.66667,-31.41667,"{""type"":""Point"",""coordinates"":[-60.66667,-31.41667]}"
Arundu,Doubtful stone,0,Fell,1936,http://www.lpi.usra.edu/meteor/metbull.php?code=2342,35.86667,75.33333,34359,56:02.8,11:51.9,1/1/1936 0:00,75.33333,35.86667,"{""type"":""Point"",""coordinates"":[75.33333,35.86667]}"
Asco,H6,41,Fell,1805,http://www.lpi.usra.edu/meteor/metbull.php?code=2345,42.45,9.03333,14607,56:02.8,11:51.9,1805-01-01 00:00:00,9.03333,42.45,"{""type"":""Point"",""coordinates"":[9.03333,42.45]}"
Ash Creek,L6,9500,Fell,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=48954,31.805,-97.01,1251,56:02.8,11:51.9,1/1/2009 0:00,-97.01,31.805,"{""type"":""Point"",""coordinates"":[-97.01,31.805]}"
Ashdon,L6,1300,Fell,1923,http://www.lpi.usra.edu/meteor/metbull.php?code=2346,52.05,0.3,3347,56:02.8,11:51.9,1/1/1923 0:00,0.3,52.05,"{""type"":""Point"",""coordinates"":[0.3,52.05]}"
Assisi,H5,2000,Fell,1886,http://www.lpi.usra.edu/meteor/metbull.php?code=2353,43.03333,12.55,2719,56:02.8,11:51.9,1886-01-01 00:00:00,12.55,43.03333,"{""type"":""Point"",""coordinates"":[12.55,43.03333]}"
Atarra,L4,1280,Fell,1920,http://www.lpi.usra.edu/meteor/metbull.php?code=4883,25.25417,80.625,3370,56:02.8,11:51.9,1/1/1920 0:00,80.625,25.25417,"{""type"":""Point"",""coordinates"":[80.625,25.25417]}"
Atemajac,L6,94.2,Fell,1896,http://www.lpi.usra.edu/meteor/metbull.php?code=4884,20.06667,-103.66667,10955,56:02.8,11:51.9,1896-01-01 00:00:00,-103.66667,20.06667,"{""type"":""Point"",""coordinates"":[-103.66667,20.06667]}"
Athens,LL6,265,Fell,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=4885,34.75,-87,7082,56:02.8,11:51.9,1/1/1933 0:00,-87,34.75,"{""type"":""Point"",""coordinates"":[-87,34.75]}"
Atoka,L6,1384.2,Fell,1945,http://www.lpi.usra.edu/meteor/metbull.php?code=4888,34.31667,-96.15,3260,56:02.8,11:51.9,1/1/1945 0:00,-96.15,34.31667,"{""type"":""Point"",""coordinates"":[-96.15,34.31667]}"
Atsuma,Doubtful stone,10690,Fell,1935,http://www.lpi.usra.edu/meteor/metbull.php?code=4889,43,141,1176,56:02.8,11:51.9,1/1/1935 0:00,141,43,"{""type"":""Point"",""coordinates"":[141,43]}"
Aubres,Aubrite,800,Fell,1836,http://www.lpi.usra.edu/meteor/metbull.php?code=4893,44.38333,5.16667,4214,56:02.8,11:51.9,1836-01-01 00:00:00,5.16667,44.38333,"{""type"":""Point"",""coordinates"":[5.16667,44.38333]}"
Augsburg (1528),Doubtful stone,0,Fell,1528,http://www.lpi.usra.edu/meteor/metbull.php?code=4895,48.36667,10.88333,34267,56:02.8,11:51.9,1528-01-01 00:00:00,10.88333,48.36667,"{""type"":""Point"",""coordinates"":[10.88333,48.36667]}"
Augsburg (952),Doubtful meteorite,0,Fell,952,http://www.lpi.usra.edu/meteor/metbull.php?code=4896,48.36667,10.88333,34250,56:02.8,11:51.9,0952-01-01 00:00:00,10.88333,48.36667,"{""type"":""Point"",""coordinates"":[10.88333,48.36667]}"
Aumale,L6,50000,Fell,1865,http://www.lpi.usra.edu/meteor/metbull.php?code=4899,36.16667,3.66667,423,56:02.8,11:51.9,1865-01-01 00:00:00,3.66667,36.16667,"{""type"":""Point"",""coordinates"":[3.66667,36.16667]}"
Aumieres,L6,2000,Fell,1842,http://www.lpi.usra.edu/meteor/metbull.php?code=4900,44.33333,3.23333,2714,56:02.8,11:51.9,1842-01-01 00:00:00,3.23333,44.33333,"{""type"":""Point"",""coordinates"":[3.23333,44.33333]}"
Ausson,L5,50000,Fell,1858,http://www.lpi.usra.edu/meteor/metbull.php?code=4903,43.08333,0.58333,422,56:02.8,11:51.9,1858-01-01 00:00:00,0.58333,43.08333,"{""type"":""Point"",""coordinates"":[0.58333,43.08333]}"
Avanhandava,H4,9330,Fell,1952,http://www.lpi.usra.edu/meteor/metbull.php?code=4905,-21.46028,-49.95083,1257,56:02.8,11:51.9,1/1/1952 0:00,-49.95083,-21.46028,"{""type"":""Point"",""coordinates"":[-49.95083,-21.46028]}"
Avce,"Iron, IIAB",1230,Fell,1908,http://www.lpi.usra.edu/meteor/metbull.php?code=4906,46,13.5,3437,56:02.8,11:51.9,1/1/1908 0:00,13.5,46,"{""type"":""Point"",""coordinates"":[13.5,46]}"
Avilez,H,146,Fell,1855,http://www.lpi.usra.edu/meteor/metbull.php?code=4907,25,-103.5,9179,56:02.8,11:51.9,1855-01-01 00:00:00,-103.5,25,"{""type"":""Point"",""coordinates"":[-103.5,25]}"
Awere,L4,134,Fell,1968,http://www.lpi.usra.edu/meteor/metbull.php?code=4910,2.71667,32.83333,9496,56:02.8,11:51.9,1/1/1968 0:00,32.83333,2.71667,"{""type"":""Point"",""coordinates"":[32.83333,2.71667]}"
Aztec,L6,2830,Fell,1938,http://www.lpi.usra.edu/meteor/metbull.php?code=4913,36.8,-108,2320,56:02.8,11:51.9,1/1/1938 0:00,-108,36.8,"{""type"":""Point"",""coordinates"":[-108,36.8]}"
Bachmut,L6,18000,Fell,1814,http://www.lpi.usra.edu/meteor/metbull.php?code=4917,48.6,38,852,56:02.8,11:51.9,1814-01-01 00:00:00,38,48.6,"{""type"":""Point"",""coordinates"":[38,48.6]}"
Bahjoi,"Iron, IAB-sLL",10322,Fell,1934,http://www.lpi.usra.edu/meteor/metbull.php?code=4922,28.48333,78.5,1197,56:02.8,11:51.9,1/1/1934 0:00,78.5,28.48333,"{""type"":""Point"",""coordinates"":[78.5,28.48333]}"
Bald Mountain,L4,3700,Fell,1929,http://www.lpi.usra.edu/meteor/metbull.php?code=4925,35.96667,-82.48333,2035,56:02.8,11:51.9,1/1/1929 0:00,-82.48333,35.96667,"{""type"":""Point"",""coordinates"":[-82.48333,35.96667]}"
Baldwyn,L6,345,Fell,1922,http://www.lpi.usra.edu/meteor/metbull.php?code=4926,34.5,-88.66667,6304,56:02.8,11:51.9,1/1/1922 0:00,-88.66667,34.5,"{""type"":""Point"",""coordinates"":[-88.66667,34.5]}"
Bali,CV3,1000,Fell,1907,http://www.lpi.usra.edu/meteor/metbull.php?code=4928,5.38333,16.38333,3782,56:02.8,11:51.9,1/1/1907 0:00,16.38333,5.38333,"{""type"":""Point"",""coordinates"":[16.38333,5.38333]}"
Ban Rong Du,"Iron, ungrouped",16700,Fell,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=4934,16.66667,101.18333,906,56:02.8,11:51.9,1/1/1993 0:00,101.18333,16.66667,"{""type"":""Point"",""coordinates"":[101.18333,16.66667]}"
Bandong,LL6,11500,Fell,1871,http://www.lpi.usra.edu/meteor/metbull.php?code=4935,-6.91667,107.6,1131,56:02.8,11:51.9,1871-01-01 00:00:00,107.6,-6.91667,"{""type"":""Point"",""coordinates"":[107.6,-6.91667]}"
Bansur,L6,15000,Fell,1892,http://www.lpi.usra.edu/meteor/metbull.php?code=4936,27.7,76.33333,968,56:02.8,11:51.9,1892-01-01 00:00:00,76.33333,27.7,"{""type"":""Point"",""coordinates"":[76.33333,27.7]}"
Banswal,L5,14,Fell,1913,http://www.lpi.usra.edu/meteor/metbull.php?code=4937,30.4,78.2,20284,56:02.8,11:51.9,1/1/1913 0:00,78.2,30.4,"{""type"":""Point"",""coordinates"":[78.2,30.4]}"
Banten,CM2,629,Fell,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=4938,-6.33333,106,4707,56:02.8,11:51.9,1/1/1933 0:00,106,-6.33333,"{""type"":""Point"",""coordinates"":[106,-6.33333]}"
Barbotan,H5,6400,Fell,1790,http://www.lpi.usra.edu/meteor/metbull.php?code=4942,43.95,-0.05,1541,56:02.8,11:51.9,1790-01-01 00:00:00,-0.05,43.95,"{""type"":""Point"",""coordinates"":[-0.05,43.95]}"
Barcelona (iron),Doubtful meteorite,0,Fell,1850,http://www.lpi.usra.edu/meteor/metbull.php?code=4943,41.36667,2.16667,34318,56:02.8,11:51.9,1850-01-01 00:00:00,2.16667,41.36667,"{""type"":""Point"",""coordinates"":[2.16667,41.36667]}"
Barcelona (stone),OC,0,Fell,1704,http://www.lpi.usra.edu/meteor/metbull.php?code=4944,41.36667,2.16667,34290,56:02.8,11:51.9,1704-01-01 00:00:00,2.16667,41.36667,"{""type"":""Point"",""coordinates"":[2.16667,41.36667]}"
Barea,Mesosiderite-A1,3200,Fell,1842,http://www.lpi.usra.edu/meteor/metbull.php?code=4946,42.38333,-2.5,2186,56:02.8,11:51.9,1842-01-01 00:00:00,-2.5,42.38333,"{""type"":""Point"",""coordinates"":[-2.5,42.38333]}"
Barnaul,H5,23.2,Fell,1904,http://www.lpi.usra.edu/meteor/metbull.php?code=4947,52.73333,84.08333,17466,56:02.8,11:51.9,1/1/1904 0:00,84.08333,52.73333,"{""type"":""Point"",""coordinates"":[84.08333,52.73333]}"
Barntrup,LL4,17,Fell,1886,http://www.lpi.usra.edu/meteor/metbull.php?code=4948,52,9.1,19228,56:02.8,11:51.9,1886-01-01 00:00:00,9.1,52,"{""type"":""Point"",""coordinates"":[9.1,52]}"
Baroti,L6,4500,Fell,1910,http://www.lpi.usra.edu/meteor/metbull.php?code=4949,31.61667,76.8,1832,56:02.8,11:51.9,1/1/1910 0:00,76.8,31.61667,"{""type"":""Point"",""coordinates"":[76.8,31.61667]}"
Barwell,L5,44000,Fell,1965,http://www.lpi.usra.edu/meteor/metbull.php?code=4954,52.56528,-1.33972,482,56:02.8,11:51.9,1/1/1965 0:00,-1.33972,52.56528,"{""type"":""Point"",""coordinates"":[-1.33972,52.56528]}"
Basingstoke,Doubtful meteorite,1100,Fell,1806,http://www.lpi.usra.edu/meteor/metbull.php?code=4956,51.26667,-1.08333,3606,56:02.8,11:51.9,1806-01-01 00:00:00,-1.08333,51.26667,"{""type"":""Point"",""coordinates"":[-1.08333,51.26667]}"
Bassikounou,H5,29560,Fell,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=44876,15.78333,-5.9,620,56:02.8,11:51.9,1/1/2006 0:00,-5.9,15.78333,"{""type"":""Point"",""coordinates"":[-5.9,15.78333]}"
Baszk�_wka,L5,15500,Fell,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=4957,52.03333,20.93583,953,56:02.8,11:51.9,1/1/1994 0:00,20.93583,52.03333,"{""type"":""Point"",""coordinates"":[20.93583,52.03333]}"
Bath,H4,21000,Fell,1892,http://www.lpi.usra.edu/meteor/metbull.php?code=4974,45.41667,-98.31667,771,56:02.8,11:51.9,1892-01-01 00:00:00,-98.31667,45.41667,"{""type"":""Point"",""coordinates"":[-98.31667,45.41667]}"
Bath Furnace,L6,86000,Fell,1902,http://www.lpi.usra.edu/meteor/metbull.php?code=4975,38.25,-83.75,301,56:02.8,11:51.9,1/1/1902 0:00,-83.75,38.25,"{""type"":""Point"",""coordinates"":[-83.75,38.25]}"
Battle Mountain,L6,2900,Fell,2012,http://www.lpi.usra.edu/meteor/metbull.php?code=56133,40.66813,-117.18913,2300,56:02.8,11:51.9,1/1/2012 0:00,-117.18913,40.66813,"{""type"":""Point"",""coordinates"":[-117.18913,40.66813]}"
Bawku,LL5,1557,Fell,1989,http://www.lpi.usra.edu/meteor/metbull.php?code=4976,11.08333,-0.18333,3066,56:02.8,11:51.9,1/1/1989 0:00,-0.18333,11.08333,"{""type"":""Point"",""coordinates"":[-0.18333,11.08333]}"
Baxter,L6,611,Fell,1916,http://www.lpi.usra.edu/meteor/metbull.php?code=4977,36.75,-93.5,4780,56:02.8,11:51.9,1/1/1916 0:00,-93.5,36.75,"{""type"":""Point"",""coordinates"":[-93.5,36.75]}"
Baydon,Pseudometeorite,0,Fell,,http://www.lpi.usra.edu/meteor/metbull.php?code=4979,51.51667,-1.6,34512,56:02.8,11:18.6,,-1.6,51.51667,"{""type"":""Point"",""coordinates"":[-1.6,51.51667]}"
Beardsley,H5,16000,Fell,1929,http://www.lpi.usra.edu/meteor/metbull.php?code=4984,39.8,-101.2,933,56:02.8,11:51.9,1/1/1929 0:00,-101.2,39.8,"{""type"":""Point"",""coordinates"":[-101.2,39.8]}"
Beaver Creek,H5,14000,Fell,1893,http://www.lpi.usra.edu/meteor/metbull.php?code=4986,51.16667,-117.33333,1004,56:02.8,11:51.9,1893-01-01 00:00:00,-117.33333,51.16667,"{""type"":""Point"",""coordinates"":[-117.33333,51.16667]}"
Beddgelert,H5,794,Fell,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=4993,53.01667,-4.1,4243,56:02.8,11:51.9,1/1/1949 0:00,-4.1,53.01667,"{""type"":""Point"",""coordinates"":[-4.1,53.01667]}"
Beeston,Doubtful meteorite,0,Fell,1780,http://www.lpi.usra.edu/meteor/metbull.php?code=4997,52.93333,-1.21667,34300,56:02.8,11:51.9,1780-01-01 00:00:00,-1.21667,52.93333,"{""type"":""Point"",""coordinates"":[-1.21667,52.93333]}"
Bells,C2-ung,375,Fell,1961,http://www.lpi.usra.edu/meteor/metbull.php?code=5005,33.6,-96.46667,6045,56:02.8,11:51.9,1/1/1961 0:00,-96.46667,33.6,"{""type"":""Point"",""coordinates"":[-96.46667,33.6]}"
Belville,OC,0,Fell,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=5009,-32.33333,-64.86667,34361,56:02.8,11:51.9,1/1/1937 0:00,-64.86667,-32.33333,"{""type"":""Point"",""coordinates"":[-64.86667,-32.33333]}"
Benares (a),LL4,3700,Fell,1798,http://www.lpi.usra.edu/meteor/metbull.php?code=5011,25.36667,82.91667,2034,56:02.8,11:51.9,1798-01-01 00:00:00,82.91667,25.36667,"{""type"":""Point"",""coordinates"":[82.91667,25.36667]}"
Benguerir,LL6,25000,Fell,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=30443,32.25,-8.15,705,56:02.8,11:51.9,1/1/2004 0:00,-8.15,32.25,"{""type"":""Point"",""coordinates"":[-8.15,32.25]}"
